otl_tip, DRrate
Hylocarpa_heterocarpa,0.0202323759411448
Duckesia_verrucosa,0.0297443990664635
Humiriastrum_cuspidatum,0.0664899686793186
Humiriastrum_spiritus-sancti,0.0672541299176574
Humiriastrum_excelsum,0.0672541299176574
Humiriastrum_dentatum,0.0662696553140077
Humiriastrum_colombianum,0.0662696553140077
Humiriastrum_ottohuberi,0.0626362855640675
Humiriastrum_villosum,0.0624407327855881
Humiriastrum_piraparanenses,0.0624407327855881
Humiriastrum_piraparanense,0.0660780753207126
Humiriastrum_liesneri,0.0679577340972432
Humiriastrum_mapiriense,0.0679577340972432
Humiriastrum_procerum,0.0674219308418693
Humiriastrum_glaziovii,0.0668187892131228
Humiriastrum_spiritu-sancti,0.0646448456612738
Humiriastrum_mussungense,0.0644365710517447
Humiriastrum_subcrenatum,0.0655367574711559
Humiriastrum_mussunungense,0.0655367574711559
Humiriastrum_diguense,0.0621496824071958
Humiriastrum_obovatum,0.0641266633791591
Humiriastrum_melanocarpum,0.0641266633791591
Sacoglottis_glazioviana,0.161717695939792
Sacoglottis_holdridgei,0.161717695939792
Sacoglottis_sp._Hammel_18390,0.200949199960216
Sacoglottis_ceratocarpa,0.230003202672218
Sacoglottis_maguirei,0.230003202672218
Sacoglottis_gabonensis,0.160420553822514
Sacoglottis_amazonica,0.232341168232484
Sacoglottis_cydonioides,0.232341168232484
Sacoglottis_trichogyna,0.200445707403489
Sacoglottis_ovicarpa,0.159779754903234
Sacoglottis_cydonoides,0.227711820571442
Sacoglottis_kaboeriensis,0.227711820571442
Sacoglottis_sp._B1_KGD-2012,0.197476951855201
Sacoglottis_guianensis,0.158513393346346
Humiria_balsamifera,0.0369738467263535
Vantanea_paraensis,0.0631765020125603
Vantanea_minor,0.0667327293067332
Vantanea_obovata,0.0667327293067332
Humiria_guianense,0.094235897098842
Humiria_wurdackii,0.10144299037258
Humiria_balsamifera_var._balsamifera,0.10144299037258
Humiria_crassifolia,0.101186374163079
Humiria_subcrenatum,0.101186374163079
Humiria_fruticosa,0.0937939592044379
Vantanea_morii,0.0667943426704326
